B,B5,BO,B3,BC,BCO,B3M,BC3M,BC3MS,BC3MD,BC3MSD
0.57171684476683,0.572088704339919,0.619480092016524,0.602430322072635,0.633405349179889,0.634579862456099,0.616268575496766,0.663732624335101,0.673716824432342,0.667026674549086,0.672847946342826
0.593667383438876,0.594700700681903,0.632020992277253,0.625800745479438,0.643756016077074,0.643149759526446,0.636189939900865,0.668903364019071,0.670078130044703,0.67609304790482,0.675062738030856
0.597980750794211,0.599349324809181,0.641647414891563,0.619449897068236,0.67054362120576,0.659817189467766,0.640750553770235,0.692041940714781,0.699567287890091,0.693790205584855,0.698994015022593
0.54796614168716,0.548808825880754,0.589189123544197,0.570325182626173,0.628314267845271,0.61053243075818,0.579483737711332,0.629418378711548,0.635296663443069,0.633122186418811,0.636360069998174
0.580517510578304,0.579586969922931,0.629262161588705,0.604095774562043,0.662357671314129,0.649121735213321,0.614926654212205,0.672389897182257,0.682011779099422,0.673619459953625,0.680333558187338
0.589043737282729,0.584057124932884,0.638386605855854,0.614902866406719,0.671289077874219,0.660238430311153,0.628007192427976,0.686821828790891,0.693563465344737,0.689979773582654,0.693928637268209
0.577047947568209,0.573638697843249,0.604968419878137,0.594870096236562,0.633586826038039,0.622258755867963,0.603062549939223,0.651546508541196,0.656994295407034,0.661196691190761,0.663026198593825
0.576033827110189,0.576570911245299,0.620230134164519,0.600102330061866,0.649686567782598,0.63993556193395,0.613438625208791,0.666102044777611,0.672022133452361,0.669664557922269,0.673149288345968
0.566522192529693,0.567159754055771,0.602774019544741,0.594468444029989,0.632541408916655,0.6225808403533,0.61700915031332,0.669033122916471,0.675639598644098,0.67688295416083,0.680815579075982
0.577975177821746,0.575944332453018,0.623817124164593,0.595628764002643,0.639509326896729,0.639959065514982,0.614360106600608,0.665571474827103,0.671517945725256,0.670232023896913,0.674836706206129
