B,BP,BM,BR,Be,BE,BER,BEM,BEe,BEeM
0.57171684476683,0.57558103929475,0.61865352014193,0.667225872251296,0.713613634668681,0.732723861459136,0.720871218818253,0.748017785676691,0.767383448546282,0.776160537470687
0.593667383438876,0.59828279200716,0.625171024844023,0.693582336011411,0.717805363390052,0.739178145966593,0.732486439000104,0.745247752300887,0.774471049735733,0.776464726726784
0.597980750794211,0.598930964250719,0.632927257075146,0.699844112626869,0.713929508906454,0.741872889708087,0.738975841078364,0.751192491576922,0.772350917138738,0.77830944355361
0.54796614168716,0.549926578030351,0.606899963887293,0.679153407074591,0.69579612503012,0.719832297689329,0.711013995084889,0.734603744032609,0.758496661657978,0.767121667422453
0.580517510578304,0.581017053927237,0.61122890481462,0.693213089376909,0.687443673169866,0.724209584868628,0.72232674355704,0.729749488388642,0.746963275057684,0.748941667886045
0.589043737282729,0.588871870541288,0.629250365291601,0.693131669673385,0.705977363417383,0.724345833232211,0.732643077207661,0.73889322964532,0.757266890196811,0.765163247225974
0.577047947568209,0.575804244850377,0.61489877604624,0.678279280443096,0.710649696639885,0.731426337088248,0.721920039053034,0.744061635909838,0.762771956669298,0.770342069357331
0.576033827110189,0.577816012944103,0.616654932599768,0.498677270580426,0.711450212879198,0.735611496309069,0.492616933758073,0.744580645708967,0.771964506840016,0.77569410641493
0.566522192529693,0.567727491641371,0.607154835024495,0.678328311317532,0.698246272994088,0.720030630409606,0.723283005796425,0.727461027853036,0.753559324323598,0.758897211458665
0.577975177821746,0.578987842500963,0.609450133979685,0.657963532794291,0.698055035182766,0.72068911832632,0.708879534739365,0.735692576785071,0.75340150866717,0.763588581325803
